iter	Passed	Remaining
401	12785	19019
402	12814	18983
403	12844	18949
404	12876	18917
405	12907	18884
406	12937	18849
407	12968	18817
408	12998	18783
409	13030	18751
410	13062	18720
411	13110	18711
412	13142	18680
413	13174	18647
414	13206	18616
415	13238	18584
416	13269	18551
417	13299	18516
418	13335	18491
419	13366	18458
420	13413	18447
421	13443	18413
422	13473	18378
423	13505	18346
424	13535	18313
425	13569	18284
426	13600	18250
427	13631	18218
428	13661	18183
429	13707	18169
430	13739	18139
431	13769	18104
432	13801	18072
433	13832	18039
434	13863	18006
435	13894	17973
436	13925	17940
437	13957	17908
438	13987	17874
439	14017	17840
440	14048	17807
441	14079	17774
442	14110	17741
443	14140	17707
444	14173	17676
445	14205	17645
446	14237	17613
447	14269	17582
448	14301	17550
449	14333	17519
450	14365	17486
451	14396	17454
452	14426	17420
453	14457	17387
454	14486	17352
455	14517	17319
456	14548	17285
457	14578	17251
458	14609	17220
459	14639	17185
460	14670	17152
461	14703	17121
462	14737	17092
463	14769	17061
464	14801	17029
465	14832	16996
466	14861	16962
467	14894	16931
468	14924	16897
469	14956	16865
470	14987	16833
471	15018	16799
472	15049	16767
473	15079	16734
474	15111	16702
475	15142	16669
476	15172	16635
477	15204	16603
478	15235	16571
479	15267	16539
480	15297	16506
481	15330	16475
482	15361	16442
483	15393	16411
484	15424	16378
485	15467	16359
486	15498	16326
487	15530	16294
488	15562	16262
489	15591	16228
490	15623	16196
491	15654	16163
492	15684	16129
493	15715	16097
494	15746	16064
495	15777	16031
496	15808	15999
497	15839	15966
498	15867	15931
499	15898	15898
500	15929	15866
501	15959	15832
502	15990	15799
503	16021	15767
504	16052	15734
505	16082	15701
506	16113	15668
507	16143	15635
508	16175	15603
509	16208	15572
510	16240	15541
511	16270	15507
512	16303	15477
513	16333	15443
514	16363	15410
515	16393	15376
516	16425	15344
517	16454	15311
518	16500	15291
519	16531	15260
520	16563	15227
521	16593	15194
522	16623	15161
523	16655	15129
524	16687	15097
525	16720	15067
526	16751	15034
527	16780	15000
528	16810	14967
529	16841	14934
530	16873	14903
531	16903	14869
532	16933	14836
533	16964	14804
534	16994	14771
535	17026	14739
536	17057	14706
537	17088	14674
538	17118	14641
539	17148	14607
540	17179	14575
541	17210	14543
542	17241	14510
543	17273	14478
544	17304	14446
545	17334	14413
546	17367	14382
547	17398	14350
548	17427	14316
549	17457	14283
550	17494	14256
551	17526	14224
552	17557	14192
553	17588	14159
554	17620	14128
555	17650	14094
556	17681	14063
557	17713	14031
558	17750	14003
559	17781	13970
560	17812	13939
561	17841	13905
562	17874	13873
563	17905	13842
564	17937	13810
565	17967	13777
566	17998	13744
567	18029	13712
568	18061	13680
569	18090	13647
570	18121	13615
571	18153	13583
572	18185	13551
573	18217	13520
574	18248	13488
575	18279	13455
576	18310	13423
577	18340	13390
578	18371	13358
579	18402	13326
580	18432	13293
581	18464	13261
582	18495	13228
583	18527	13197
584	18557	13164
585	18588	13132
586	18619	13099
587	18649	13067
588	18682	13036
589	18713	13004
590	18745	12972
591	18776	12940
592	18806	12907
593	18834	12873
594	18867	12842
595	18898	12810
596	18928	12777
597	18959	12745
598	18991	12714
599	19023	12682
600	19054	12649
601	19083	12616
602	19114	12584
603	19144	12551
604	19176	12519
605	19207	12487
606	19238	12455
607	19268	12423
608	19300	12391
609	19330	12359
610	19362	12327
611	19394	12295
612	19425	12263
613	19455	12231
614	19486	12198
615	19518	12167
616	19547	12134
617	19578	12102
618	19609	12069
619	19642	12039
620	19674	12007
621	19706	11975
622	19737	11943
623	19768	11911
624	19797	11878
625	19826	11845
626	19858	11814
627	19890	11782
628	19920	11749
629	19952	11718
630	19982	11685
631	20013	11653
632	20044	11621
633	20074	11588
634	20104	11556
635	20135	11523
636	20167	11492
637	20199	11461
638	20229	11428
639	20259	11396
640	20290	11364
641	20335	11340
642	20367	11308
643	20396	11275
644	20426	11242
645	20456	11209
646	20487	11177
647	20517	11145
648	20548	11113
649	20579	11081
650	20609	11048
651	20639	11016
652	20671	10984
653	20704	10953
654	20734	10921
655	20765	10889
656	20796	10857
657	20825	10823
658	20857	10792
659	20888	10760
660	20919	10728
661	20949	10696
662	20980	10664
663	21012	10632
664	21044	10601
665	21074	10568
666	21106	10537
667	21135	10504
668	21167	10473
669	21197	10440
670	21229	10409
671	21260	10377
672	21291	10345
673	21322	10313
674	21353	10281
675	21383	10249
676	21414	10217
677	21445	10185
678	21476	10152
679	21508	10121
680	21538	10089
681	21568	10056
682	21598	10024
683	21628	9992
684	21659	9960
685	21692	9929
686	21721	9896
687	21753	9865
688	21787	9834
689	21815	9801
690	21847	9769
691	21877	9737
692	21908	9705
693	21942	9674
694	21973	9643
695	22004	9611
696	22033	9578
697	22065	9546
698	22096	9514
699	22125	9482
700	22158	9451
701	22189	9419
702	22220	9387
703	22249	9354
704	22281	9323
705	22311	9291
706	22342	9259
707	22373	9227
708	22403	9195
709	22448	9169
710	22479	9137
711	22511	9105
712	22542	9073
713	22573	9042
714	22603	9009
715	22635	8978
716	22667	8946
717	22698	8914
718	22729	8883
719	22759	8850
720	22803	8824
721	22835	8792
722	22864	8760
723	22896	8728
724	22925	8695
725	22957	8664
726	22987	8632
727	23018	8600
728	23046	8567
729	23076	8535
730	23107	8503
731	23137	8471
732	23169	8439
733	23200	8407
734	23230	8375
735	23261	8343
736	23294	8312
737	23325	8280
738	23357	8249
739	23388	8217
740	23417	8185
741	23447	8153
742	23477	8120
743	23509	8089
744	23539	8057
745	23570	8025
746	23601	7993
747	23631	7961
748	23662	7929
749	23693	7897
750	23724	7865
751	23756	7834
752	23787	7802
753	23817	7770
754	23849	7739
755	23880	7707
756	23909	7674
757	23939	7642
758	23970	7611
759	24001	7579
760	24031	7547
761	24060	7515
762	24091	7483
763	24120	7450
764	24151	7419
765	24183	7387
766	24214	7355
767	24245	7324
768	24276	7292
769	24307	7260
770	24339	7229
771	24369	7197
772	24400	7165
773	24430	7133
774	24460	7101
775	24490	7069
776	24520	7037
777	24550	7005
778	24580	6973
779	24615	6942
780	24646	6911
781	24677	6879
782	24709	6847
783	24739	6815
784	24769	6784
785	24798	6751
786	24831	6720
787	24863	6689
788	24894	6657
789	24924	6625
790	24954	6593
791	24985	6561
792	25016	6530
793	25048	6498
794	25078	6466
795	25108	6434
796	25139	6403
797	25184	6375
798	25215	6343
799	25246	6311
800	25278	6280
801	25309	6248
802	25340	6216
803	25371	6185
804	25401	6153
805	25431	6121
806	25462	6089
807	25493	6057
808	25523	6025
809	25553	5994
810	25584	5962
811	25614	5930
812	25657	5901
813	25688	5869
814	25717	5837
815	25749	5806
816	25779	5774
817	25811	5742
818	25841	5711
819	25873	5679
820	25903	5647
821	25936	5616
822	25967	5584
823	25997	5552
824	26027	5520
825	26057	5489
826	26088	5457
827	26118	5425
828	26149	5393
829	26181	5362
830	26212	5330
831	26243	5299
832	26273	5267
833	26306	5236
834	26336	5204
835	26366	5172
836	26396	5140
837	26426	5108
838	26456	5076
839	26486	5045
840	26518	5013
841	26548	4981
842	26578	4950
843	26611	4918
844	26643	4887
845	26673	4855
846	26705	4823
847	26735	4792
848	26765	4760
849	26797	4728
850	26829	4697
851	26859	4665
852	26888	4633
853	26920	4602
854	26950	4570
855	26981	4538
856	27011	4507
857	27041	4475
858	27071	4443
859	27100	4411
860	27134	4380
861	27164	4348
862	27193	4316
863	27224	4285
864	27257	4254
865	27287	4222
866	27319	4190
867	27364	4161
868	27395	4129
869	27426	4098
870	27457	4066
871	27486	4034
872	27517	4003
873	27548	3971
874	27582	3940
875	27613	3908
876	27645	3877
877	27675	3845
878	27704	3813
879	27735	3782
880	27765	3750
881	27798	3719
882	27828	3687
883	27860	3655
884	27891	3624
885	27921	3592
886	27952	3561
887	27984	3529
888	28014	3497
889	28044	3466
890	28074	3434
891	28105	3402
892	28137	3371
893	28167	3339
894	28199	3308
895	28230	3276
896	28259	3245
897	28292	3213
898	28321	3181
899	28352	3150
900	28382	3118
901	28414	3087
902	28445	3055
903	28477	3024
904	28508	2992
905	28538	2960
906	28568	2929
907	28598	2897
908	28633	2866
909	28664	2834
910	28694	2803
911	28725	2771
912	28755	2740
913	28786	2708
914	28818	2677
915	28850	2645
916	28916	2617
917	28948	2585
918	28979	2554
919	29009	2522
920	29041	2491
921	29071	2459
922	29100	2427
923	29131	2396
924	29162	2364
925	29192	2332
926	29223	2301
927	29254	2269
928	29285	2238
929	29316	2206
930	29347	2175
931	29377	2143
932	29408	2111
933	29439	2080
934	29471	2048
935	29502	2017
936	29535	1985
937	29566	1954
938	29596	1922
939	29628	1891
940	29658	1859
941	29690	1828
942	29721	1796
943	29750	1764
944	29781	1733
945	29811	1701
946	29843	1670
947	29873	1638
948	29903	1607
949	29933	1575
950	29966	1543
951	29999	1512
952	30029	1481
953	30058	1449
954	30090	1417
955	30121	1386
956	30152	1354
957	30182	1323
958	30214	1291
959	30244	1260
960	30273	1228
961	30304	1197
962	30335	1165
963	30366	1134
964	30397	1102
965	30428	1070
966	30459	1039
967	30489	1007
968	30520	976
969	30551	944
970	30583	913
971	30616	881
972	30648	850
973	30678	818
974	30709	787
975	30739	755
976	30770	724
977	30801	692
978	30832	661
979	30863	629
980	30894	598
981	30927	566
982	30960	535
983	30990	503
984	31023	472
985	31054	440
986	31084	409
987	31117	377
988	31148	346
989	31179	314
990	31208	283
991	31240	251
992	31272	220
993	31302	188
994	31331	157
995	31371	125
996	31401	94
997	31433	62
998	31465	31
999	31494	0
