iter	RMSE
0	23.09620468
1	22.59848505
2	22.15185674
3	21.77044696
4	21.33852576
5	20.96293816
6	20.5412335
7	20.2049439
8	19.87522245
9	19.53179259
10	19.20770825
11	18.95035893
12	18.6432948
13	18.41116168
14	18.14022764
15	17.95120037
16	17.75462762
17	17.52385709
18	17.30023161
19	17.11111316
20	16.9427218
21	16.74612697
22	16.60584549
23	16.42287233
24	16.26780242
25	16.12570474
26	15.96270586
27	15.82196054
28	15.69625045
29	15.53695281
30	15.40204029
31	15.27878873
32	15.18652966
33	15.10736313
34	15.01511574
35	14.90654239
36	14.81208487
37	14.73668104
38	14.65643328
39	14.57235734
40	14.50459877
41	14.43993608
42	14.36137323
43	14.30575214
44	14.26492263
45	14.21762885
46	14.17752431
47	14.10466269
48	14.03609645
49	14.00541105
50	13.95872
51	13.91358921
52	13.84565361
53	13.81285158
54	13.77747357
55	13.72094753
56	13.70835058
57	13.66241696
58	13.6229662
59	13.56957607
60	13.54618695
61	13.51768663
62	13.45417642
63	13.40347119
64	13.34431644
65	13.32690049
66	13.27463405
67	13.23242155
68	13.21855667
69	13.19372203
70	13.18008898
71	13.17241186
72	13.14270602
73	13.12070466
74	13.10055354
75	13.07590961
76	13.05689413
77	13.0197399
78	13.00056508
79	12.98189826
80	12.9639942
81	12.93981141
82	12.91487042
83	12.88363068
84	12.87134885
85	12.85710426
86	12.83908174
87	12.82066128
88	12.80557952
89	12.78574372
90	12.77342399
91	12.76126706
92	12.74004218
93	12.73569057
94	12.69567746
95	12.68493347
96	12.68206524
97	12.6656207
98	12.63893664
99	12.61869942
100	12.60971015
101	12.60735976
102	12.59768064
103	12.57588201
104	12.56061188
105	12.5492326
106	12.51590489
107	12.4949695
108	12.47677808
109	12.46326426
110	12.45836717
111	12.45599904
112	12.43744411
113	12.4224543
114	12.39872352
115	12.38855507
116	12.37728126
117	12.37698363
118	12.36576889
119	12.35434827
120	12.33743477
121	12.33581077
122	12.33153339
123	12.32362332
124	12.31531714
125	12.30969534
126	12.30465825
127	12.28958424
128	12.28541691
129	12.27330513
130	12.2470868
131	12.24590535
132	12.23970266
133	12.22361523
134	12.21399091
135	12.20830772
136	12.19727234
137	12.1870485
138	12.17964604
139	12.16187415
140	12.15863971
141	12.15226032
142	12.14414142
143	12.13971806
144	12.13756381
145	12.11603058
146	12.11213582
147	12.10382298
148	12.0952385
149	12.09331968
150	12.09052239
151	12.08379766
152	12.07836975
153	12.06861498
154	12.0662489
155	12.06561345
156	12.02702886
157	12.01689748
158	12.01660989
159	12.01038409
160	12.00629529
161	11.99228474
162	11.98881014
163	11.9848143
164	11.96926988
165	11.93792956
166	11.92463143
167	11.91257023
168	11.90710373
169	11.88769129
170	11.88392092
171	11.88169426
172	11.84283844
173	11.83894671
174	11.83330792
175	11.82998814
176	11.82029788
177	11.79257329
178	11.78008315
179	11.76997294
180	11.76756466
181	11.76094698
182	11.75673481
183	11.75164146
184	11.75051689
185	11.74235441
186	11.73121069
187	11.72644171
188	11.72357963
189	11.72326239
190	11.71493945
191	11.69394756
192	11.6793304
193	11.66628432
194	11.66169348
195	11.64737525
196	11.63837363
197	11.61908414
198	11.60531108
199	11.5835686
200	11.57615371
201	11.56922512
202	11.56188897
203	11.54929566
204	11.54704252
205	11.54419438
206	11.53560762
207	11.52499292
208	11.52237497
209	11.5131888
210	11.50455545
211	11.49437095
212	11.48903575
213	11.47946211
214	11.46662246
215	11.46421341
216	11.45467841
217	11.4448285
218	11.43823644
219	11.43560758
220	11.42801781
221	11.42576279
222	11.3821428
223	11.36909449
224	11.35910941
225	11.35713026
226	11.34678389
227	11.32747964
228	11.32259717
229	11.31605599
230	11.31018086
231	11.30088713
232	11.296243
233	11.27437467
234	11.26375738
235	11.26207601
236	11.24907957
237	11.23694059
238	11.23446914
239	11.22982447
240	11.20530743
241	11.19971666
242	11.19306077
243	11.1877517
244	11.18600778
245	11.18074114
246	11.17907603
247	11.1701919
248	11.16132251
249	11.15554905
250	11.13378916
251	11.13135394
252	11.12581524
253	11.12317046
254	11.12164721
255	11.11906265
256	11.11308355
257	11.09891492
258	11.09477713
259	11.08443368
260	11.07838258
261	11.06703697
262	11.06347956
263	11.0585992
264	11.0520927
265	11.04308654
266	11.02994911
267	11.01849377
268	11.00433594
269	10.98250989
270	10.97433841
271	10.96394673
272	10.95943548
273	10.95301348
274	10.94980739
275	10.9457918
276	10.93635375
277	10.92734798
278	10.91922126
279	10.90379968
280	10.89602284
281	10.88821842
282	10.88025821
283	10.87045394
284	10.86297672
285	10.84380546
286	10.82571347
287	10.82543796
288	10.82205819
289	10.81842985
290	10.81403156
291	10.80018918
292	10.78996691
293	10.78394922
294	10.78368766
295	10.78087913
296	10.77629816
297	10.77611839
298	10.77138908
299	10.76845116
300	10.74931986
301	10.74658087
302	10.74151722
303	10.7363193
304	10.73329794
305	10.72973613
306	10.72160296
307	10.7119047
308	10.70781346
309	10.70436851
310	10.70086825
311	10.68196879
312	10.6791214
313	10.6654672
314	10.64764895
315	10.64436769
316	10.63634411
317	10.63343329
318	10.62459411
319	10.61964131
320	10.61699954
321	10.61389937
322	10.61041433
323	10.59907447
324	10.59065274
325	10.58431457
326	10.57671032
327	10.56001113
328	10.55649716
329	10.54837019
330	10.54595654
331	10.54572257
332	10.52990222
333	10.52333836
334	10.51622406
335	10.50029954
336	10.50007671
337	10.49056785
338	10.49035565
339	10.48909261
340	10.48889181
341	10.48720016
342	10.47785458
343	10.47562432
344	10.47318252
345	10.47081159
346	10.46672059
347	10.46657735
348	10.46280909
349	10.45421413
350	10.45144642
351	10.44698303
352	10.44469135
353	10.44119759
354	10.43633379
355	10.43308408
356	10.4293184
357	10.42682452
358	10.42570275
359	10.42353371
360	10.42147352
361	10.41668167
362	10.41474419
363	10.40821572
364	10.40805872
365	10.40328203
366	10.40143207
367	10.40128216
368	10.39367941
369	10.39003086
370	10.38992107
371	10.37745385
372	10.37602274
373	10.37427131
374	10.3735074
375	10.36949716
376	10.36854454
377	10.36844523
378	10.36772411
379	10.36111193
380	10.35372477
381	10.34555753
382	10.33291228
383	10.33279839
384	10.32940469
385	10.32250874
386	10.32135268
387	10.32028273
388	10.31709675
389	10.31700402
390	10.30925297
391	10.30541502
392	10.30529539
393	10.30431804
394	10.30331677
395	10.29902086
396	10.2989082
397	10.29705924
398	10.28296673
399	10.2823643
400	10.27895536
401	10.2675692
402	10.26034969
403	10.25972851
404	10.25776129
405	10.25546044
406	10.25532234
407	10.25522309
408	10.25216838
409	10.24519112
410	10.24148242
411	10.24142733
412	10.23777339
413	10.23015658
414	10.22663349
415	10.22418695
416	10.2236313
417	10.21447049
418	10.21432657
419	10.21210061
420	10.20678701
421	10.20397983
422	10.19535527
423	10.19118462
424	10.17690153
425	10.17416392
426	10.17355321
427	10.17204256
428	10.16706728
429	10.15962637
430	10.1528568
431	10.15280804
432	10.14885118
433	10.14471936
434	10.14346868
435	10.14070316
436	10.13768506
437	10.13663673
438	10.12654155
439	10.12293802
440	10.11996582
441	10.1182022
442	10.1156069
443	10.11386309
444	10.10665373
445	10.10490407
446	10.10125135
447	10.09595038
448	10.08524199
449	10.07827841
450	10.06948837
451	10.06558884
452	10.06471165
453	10.06188728
454	10.05882055
455	10.05523298
456	10.05326739
457	10.05158755
458	10.03879418
459	10.0358793
460	10.02661313
461	10.02447701
462	10.02129744
463	10.00750621
464	10.00122507
465	9.986518766
466	9.982940021
467	9.976806884
468	9.968526584
469	9.961174144
470	9.956970175
471	9.953815984
472	9.94776293
473	9.943520502
474	9.937005185
475	9.93079623
476	9.929213967
477	9.926531676
478	9.923390574
479	9.922494986
480	9.919204403
481	9.91834764
482	9.912427637
483	9.910997815
484	9.909850393
485	9.904128207
486	9.898489595
487	9.895637286
488	9.883766775
489	9.882939023
490	9.872561792
491	9.868774535
492	9.866128335
493	9.864439708
494	9.860083524
495	9.855798507
496	9.852551745
497	9.849896884
498	9.848809455
499	9.847768131
500	9.84249511
501	9.839716138
502	9.820505409
503	9.816559364
504	9.814856643
505	9.810005736
506	9.809296094
507	9.808625301
508	9.807635039
509	9.805110416
510	9.802724204
511	9.798850957
512	9.797725271
513	9.79405364
514	9.790055205
515	9.787793703
516	9.781204221
517	9.779195965
518	9.775920307
519	9.774534614
520	9.770805104
521	9.767591299
522	9.766181935
523	9.761157175
524	9.760400191
525	9.756927088
526	9.75542979
527	9.754811111
528	9.753541733
529	9.747606682
530	9.744816261
531	9.738052039
532	9.732635823
533	9.728104296
534	9.725275746
535	9.724068032
536	9.720908361
537	9.719621093
538	9.716352163
539	9.715926045
540	9.712828361
541	9.707522947
542	9.705982263
543	9.703041778
544	9.700253072
545	9.697739634
546	9.6937567
547	9.692554978
548	9.691897752
549	9.690756909
550	9.685576314
551	9.685027119
552	9.68241061
553	9.681571288
554	9.681221472
555	9.680414292
556	9.67039575
557	9.669699044
558	9.667468615
559	9.662304335
560	9.656825386
561	9.65277635
562	9.650919192
563	9.647395531
564	9.642627449
565	9.642335847
566	9.641266117
567	9.6345351
568	9.634072561
569	9.629202569
570	9.628061719
571	9.622646041
572	9.620704699
573	9.619151887
574	9.613998054
575	9.609166787
576	9.609101583
577	9.608503941
578	9.607431901
579	9.602253882
580	9.597578453
581	9.594445182
582	9.589761621
583	9.589356324
584	9.587982255
585	9.587238627
586	9.585402669
587	9.584527888
588	9.581077736
589	9.579959291
590	9.570449423
591	9.569810234
592	9.567940918
593	9.567905049
594	9.565515823
595	9.564487384
596	9.563488131
597	9.560380754
598	9.558444136
599	9.558401517
600	9.551563711
601	9.54711902
602	9.545796625
603	9.543809314
604	9.540708049
605	9.538747287
606	9.531132895
607	9.529269613
608	9.528250794
609	9.527498219
610	9.52640424
611	9.523330383
612	9.519170916
613	9.515682266
614	9.514801336
615	9.511900471
616	9.509517837
617	9.508630833
618	9.501051781
619	9.496318374
620	9.493981208
621	9.491765984
622	9.49002772
623	9.489475475
624	9.487772752
625	9.486932935
626	9.48554161
627	9.481772184
628	9.480699405
629	9.47792497
630	9.476139906
631	9.475782549
632	9.473945005
633	9.472687709
634	9.465499391
635	9.464712231
636	9.461750944
637	9.461165287
638	9.460641748
639	9.459906448
640	9.456333344
641	9.440265299
642	9.439386759
643	9.436814513
644	9.436024079
645	9.435343429
646	9.430898597
647	9.430181594
648	9.423522605
649	9.422635357
650	9.418560641
651	9.417696613
652	9.417077716
653	9.416308082
654	9.415940735
655	9.41546918
656	9.413675753
657	9.413228279
658	9.404027971
659	9.401304305
660	9.39976082
661	9.391665591
662	9.387333422
663	9.382307891
664	9.381521959
665	9.379819721
666	9.379129416
667	9.372032409
668	9.368324154
669	9.367869088
670	9.36492695
671	9.36374755
672	9.362509118
673	9.36161967
674	9.360480223
675	9.359577841
676	9.357689105
677	9.351202279
678	9.342587545
679	9.339047002
680	9.337661877
681	9.337099267
682	9.336069161
683	9.334920832
684	9.329931589
685	9.325116526
686	9.321279793
687	9.316560046
688	9.316533716
689	9.315063824
690	9.314338572
691	9.313031726
692	9.313006261
693	9.312541062
694	9.311458085
695	9.309491506
696	9.302843865
697	9.302046851
698	9.300613325
699	9.300075819
700	9.293765205
701	9.292938
702	9.291760316
703	9.291504732
704	9.290975044
705	9.289441287
706	9.288808647
707	9.288196875
708	9.280304507
709	9.278341811
710	9.277339157
711	9.275571269
712	9.269530541
713	9.263635113
714	9.249203472
715	9.24895795
716	9.247595041
717	9.247364258
718	9.242433467
719	9.24077492
720	9.239723223
721	9.239171561
722	9.230013543
723	9.226499391
724	9.22327576
725	9.220980927
726	9.218176734
727	9.210515538
728	9.209027762
729	9.208955878
730	9.207949326
731	9.203199525
732	9.196329344
733	9.194878452
734	9.18765822
735	9.183610968
736	9.18311163
737	9.175868214
738	9.172344958
739	9.16597926
740	9.162956936
741	9.158948026
742	9.157064938
743	9.152660962
744	9.148457778
745	9.146975943
746	9.141994236
747	9.140522349
748	9.140039619
749	9.138218169
750	9.137859821
751	9.137379693
752	9.134033848
753	9.133997326
754	9.124114609
755	9.122828206
756	9.120745445
757	9.120362676
758	9.117984461
759	9.113455918
760	9.113431787
761	9.1048792
762	9.102007239
763	9.098007808
764	9.095507497
765	9.091688273
766	9.090474489
767	9.089280853
768	9.082242208
769	9.081003659
770	9.080336051
771	9.079791722
772	9.076364077
773	9.075683951
774	9.0729596
775	9.0725294
776	9.069269141
777	9.066719021
778	9.06309321
779	9.060935708
780	9.060265584
781	9.057809231
782	9.057270924
783	9.052376504
784	9.051750674
785	9.051397292
786	9.049464529
787	9.0479799
788	9.0463961
789	9.046159112
790	9.044624366
791	9.044303911
792	9.035514781
793	9.033174657
794	9.033146649
795	9.031723468
796	9.031145071
797	9.030661223
798	9.027029105
799	9.02699958
800	9.024721722
801	9.02418207
802	9.023768111
803	9.02270623
804	9.021864824
805	9.014467704
806	9.013013424
807	9.012809744
808	9.01143381
809	9.009598776
810	9.008953205
811	9.007099566
812	9.004687471
813	9.004086184
814	9.003284697
815	9.001170051
816	8.999251835
817	8.997929707
818	8.994309677
819	8.99398325
820	8.988990425
821	8.980621502
822	8.979223675
823	8.976928819
824	8.975105241
825	8.971754601
826	8.969321073
827	8.968761684
828	8.967601251
829	8.965671125
830	8.960909521
